Time;Theta;PWM;Time(s);Theta(rad);PWM_norm
0;-1;1;0;-0.0174532925199433;0.00666666666666667
16;-1;2;0.016;-0.0174532925199433;0.0133333333333333
32;-1;3;0.032;-0.0174532925199433;0.02
48;-1;4;0.048;-0.0174532925199433;0.0266666666666667
64;-1;5;0.064;-0.0174532925199433;0.0333333333333333
80;-1;6;0.08;-0.0174532925199433;0.04
96;-1;7;0.096;-0.0174532925199433;0.0466666666666667
112;-1;8;0.112;-0.0174532925199433;0.0533333333333333
129;0;9;0.129;0;0.06
145;-1;10;0.145;-0.0174532925199433;0.0666666666666667
161;-1;11;0.161;-0.0174532925199433;0.0733333333333333
177;-1;12;0.177;-0.0174532925199433;0.08
193;-1;13;0.193;-0.0174532925199433;0.0866666666666667
209;-1;14;0.209;-0.0174532925199433;0.0933333333333333
225;-1;15;0.225;-0.0174532925199433;0.1
241;-1;16;0.241;-0.0174532925199433;0.106666666666667
258;-1;17;0.258;-0.0174532925199433;0.113333333333333
274;-1;18;0.274;-0.0174532925199433;0.12
290;-1;19;0.29;-0.0174532925199433;0.126666666666667
306;0;20;0.306;0;0.133333333333333
322;0;21;0.322;0;0.14
338;0;22;0.338;0;0.146666666666667
354;0;23;0.354;0;0.153333333333333
370;0;24;0.37;0;0.16
387;0;25;0.387;0;0.166666666666667
403;0;26;0.403;0;0.173333333333333
419;0;27;0.419;0;0.18
435;0;28;0.435;0;0.186666666666667
451;0;29;0.451;0;0.193333333333333
467;0;30;0.467;0;0.2
483;0;31;0.483;0;0.206666666666667
500;0;32;0.5;0;0.213333333333333
516;0;33;0.516;0;0.22
532;0;34;0.532;0;0.226666666666667
548;0;35;0.548;0;0.233333333333333
564;0;36;0.564;0;0.24
580;0;37;0.58;0;0.246666666666667
596;0;38;0.596;0;0.253333333333333
612;0;39;0.612;0;0.26
629;0;40;0.629;0;0.266666666666667
645;0;41;0.645;0;0.273333333333333
661;0;42;0.661;0;0.28
677;0;43;0.677;0;0.286666666666667
693;0;44;0.693;0;0.293333333333333
709;0;45;0.709;0;0.3
725;0;46;0.725;0;0.306666666666667
741;0;47;0.741;0;0.313333333333333
758;0;48;0.758;0;0.32
774;1;49;0.774;0.0174532925199433;0.326666666666667
790;0;50;0.79;0;0.333333333333333
806;1;51;0.806;0.0174532925199433;0.34
822;1;52;0.822;0.0174532925199433;0.346666666666667
838;1;53;0.838;0.0174532925199433;0.353333333333333
854;2;54;0.854;0.0349065850398866;0.36
870;2;55;0.87;0.0349065850398866;0.366666666666667
887;2;56;0.887;0.0349065850398866;0.373333333333333
903;3;57;0.903;0.0523598775598299;0.38
919;131;58;0.919;2.28638132011257;0.386666666666667
935;2;59;0.935;0.0349065850398866;0.393333333333333
951;3;60;0.951;0.0523598775598299;0.4
967;2;61;0.967;0.0349065850398866;0.406666666666667
983;2;62;0.983;0.0349065850398866;0.413333333333333
1000;3;63;1;0.0523598775598299;0.42
1016;2;64;1.016;0.0349065850398866;0.426666666666667
1032;3;65;1.032;0.0523598775598299;0.433333333333333
1048;131;66;1.048;2.28638132011257;0.44
1064;3;67;1.064;0.0523598775598299;0.446666666666667
1080;4;68;1.08;0.0698131700797732;0.453333333333333
1096;5;69;1.096;0.0872664625997165;0.46
1112;131;70;1.112;2.28638132011257;0.466666666666667
1129;5;71;1.129;0.0872664625997165;0.473333333333333
1145;24;72;1.145;0.418879020478639;0.48
1161;131;73;1.161;2.28638132011257;0.486666666666667
1177;131;74;1.177;2.28638132011257;0.493333333333333
1193;8;75;1.193;0.139626340159546;0.5
1209;8;76;1.209;0.139626340159546;0.506666666666667
1225;8;77;1.225;0.139626340159546;0.513333333333333
1241;8;78;1.241;0.139626340159546;0.52
1258;8;79;1.258;0.139626340159546;0.526666666666667
1274;9;80;1.274;0.15707963267949;0.533333333333333
1290;9;81;1.29;0.15707963267949;0.54
1306;10;82;1.306;0.174532925199433;0.546666666666667
1322;10;83;1.322;0.174532925199433;0.553333333333333
1338;10;84;1.338;0.174532925199433;0.56
1354;11;85;1.354;0.191986217719376;0.566666666666667
1370;12;86;1.37;0.20943951023932;0.573333333333333
1387;13;87;1.387;0.226892802759263;0.58
1403;13;88;1.403;0.226892802759263;0.586666666666667
1419;14;89;1.419;0.244346095279206;0.593333333333333
1435;15;90;1.435;0.261799387799149;0.6
1451;16;91;1.451;0.279252680319093;0.606666666666667
1467;17;92;1.467;0.296705972839036;0.613333333333333
1483;18;93;1.483;0.314159265358979;0.62
1500;19;94;1.5;0.331612557878923;0.626666666666667
1516;20;95;1.516;0.349065850398866;0.633333333333333
1532;22;96;1.532;0.383972435438753;0.64
1548;23;97;1.548;0.401425727958696;0.646666666666667
1564;24;98;1.564;0.418879020478639;0.653333333333333
1580;26;99;1.58;0.453785605518526;0.66
1596;27;100;1.596;0.471238898038469;0.666666666666667
1612;28;101;1.612;0.488692190558412;0.673333333333333
1629;30;102;1.629;0.523598775598299;0.68
1645;31;103;1.645;0.541052068118242;0.686666666666667
1661;32;104;1.661;0.558505360638186;0.693333333333333
1677;34;105;1.677;0.593411945678072;0.7
1693;35;106;1.693;0.610865238198015;0.706666666666667
1709;36;107;1.709;0.628318530717959;0.713333333333333
1725;37;108;1.725;0.645771823237902;0.72
1741;38;109;1.741;0.663225115757845;0.726666666666667
1758;39;110;1.758;0.680678408277789;0.733333333333333
1774;40;111;1.774;0.698131700797732;0.74
1790;42;112;1.79;0.733038285837618;0.746666666666667
1806;42;113;1.806;0.733038285837618;0.753333333333333
1822;43;114;1.822;0.750491578357562;0.76
1838;45;115;1.838;0.785398163397448;0.766666666666667
1854;46;116;1.854;0.802851455917392;0.773333333333333
1870;47;117;1.87;0.820304748437335;0.78
1887;48;118;1.887;0.837758040957278;0.786666666666667
1903;49;119;1.903;0.855211333477221;0.793333333333333
1919;49;120;1.919;0.855211333477221;0.8
1935;50;121;1.935;0.872664625997165;0.806666666666667
1951;51;122;1.951;0.890117918517108;0.813333333333333
1967;52;123;1.967;0.907571211037051;0.82
1983;52;124;1.983;0.907571211037051;0.826666666666667
2000;53;125;2;0.925024503556995;0.833333333333333
2016;54;126;2.016;0.942477796076938;0.84
2032;54;127;2.032;0.942477796076938;0.846666666666667
2048;56;128;2.048;0.977384381116825;0.853333333333333
2064;56;129;2.064;0.977384381116825;0.86
