Time;Theta;Time(s);Theta(rad)
0;-3;0;-0.0523598775598299
16;-3;0.016;-0.0523598775598299
32;-3;0.032;-0.0523598775598299
48;-3;0.048;-0.0523598775598299
64;-3;0.064;-0.0523598775598299
80;-3;0.08;-0.0523598775598299
96;-3;0.096;-0.0523598775598299
112;-3;0.112;-0.0523598775598299
129;-3;0.129;-0.0523598775598299
145;-2;0.145;-0.0349065850398866
161;-2;0.161;-0.0349065850398866
177;-2;0.177;-0.0349065850398866
193;-2;0.193;-0.0349065850398866
209;-1;0.209;-0.0174532925199433
225;-1;0.225;-0.0174532925199433
241;-1;0.241;-0.0174532925199433
258;0;0.258;0
274;0;0.274;0
290;0;0.29;0
306;0;0.306;0
322;1;0.322;0.0174532925199433
338;1;0.338;0.0174532925199433
354;2;0.354;0.0349065850398866
370;2;0.37;0.0349065850398866
387;3;0.387;0.0523598775598299
403;3;0.403;0.0523598775598299
419;5;0.419;0.0872664625997165
435;5;0.435;0.0872664625997165
451;6;0.451;0.10471975511966
467;7;0.467;0.122173047639603
483;8;0.483;0.139626340159546
500;9;0.5;0.15707963267949
516;10;0.516;0.174532925199433
532;12;0.532;0.20943951023932
548;12;0.548;0.20943951023932
564;13;0.564;0.226892802759263
580;14;0.58;0.244346095279206
596;16;0.596;0.279252680319093
612;17;0.612;0.296705972839036
629;18;0.629;0.314159265358979
645;19;0.645;0.331612557878923
661;20;0.661;0.349065850398866
677;21;0.677;0.366519142918809
693;22;0.693;0.383972435438753
709;23;0.709;0.401425727958696
725;24;0.725;0.418879020478639
741;25;0.741;0.436332312998582
758;26;0.758;0.453785605518526
774;26;0.774;0.453785605518526
790;27;0.79;0.471238898038469
806;28;0.806;0.488692190558412
822;29;0.822;0.506145483078356
838;29;0.838;0.506145483078356
854;30;0.854;0.523598775598299
870;30;0.87;0.523598775598299
887;31;0.887;0.541052068118242
903;31;0.903;0.541052068118242
919;31;0.919;0.541052068118242
935;32;0.935;0.558505360638186
951;32;0.951;0.558505360638186
967;33;0.967;0.575958653158129
983;33;0.983;0.575958653158129
1000;34;1;0.593411945678072
1016;34;1.016;0.593411945678072
1032;34;1.032;0.593411945678072
1048;35;1.048;0.610865238198015
1064;35;1.064;0.610865238198015
1080;35;1.08;0.610865238198015
1096;36;1.096;0.628318530717959
1112;36;1.112;0.628318530717959
1129;36;1.129;0.628318530717959
1145;36;1.145;0.628318530717959
