Time;Theta;Time(s);Theta(rad)
0;95;0;1.65806278939461
16;94;0.016;1.64060949687467
32;93;0.032;1.62315620435473
48;91;0.048;1.58824961931484
64;88;0.064;1.53588974175501
80;85;0.08;1.48352986419518
96;81;0.096;1.41371669411541
112;76;0.112;1.32645023151569
129;71;0.129;1.23918376891597
145;66;0.145;1.15191730631626
161;60;0.161;1.0471975511966
177;54;0.177;0.942477796076938
193;48;0.193;0.837758040957278
209;41;0.209;0.715584993317675
225;35;0.225;0.610865238198015
241;29;0.241;0.506145483078356
258;23;0.258;0.401425727958696
274;17;0.274;0.296705972839036
290;11;0.29;0.191986217719376
306;6;0.306;0.10471975511966
322;1;0.322;0.0174532925199433
338;-2;0.338;-0.0349065850398866
354;-6;0.354;-0.10471975511966
370;-10;0.37;-0.174532925199433
387;-12;0.387;-0.20943951023932
403;-15;0.403;-0.261799387799149
419;-17;0.419;-0.296705972839036
435;-18;0.435;-0.314159265358979
451;-19;0.451;-0.331612557878923
467;-19;0.467;-0.331612557878923
483;-19;0.483;-0.331612557878923
500;-19;0.5;-0.331612557878923
516;-19;0.516;-0.331612557878923
532;-18;0.532;-0.314159265358979
548;-17;0.548;-0.296705972839036
564;-16;0.564;-0.279252680319093
580;-14;0.58;-0.244346095279206
596;-13;0.596;-0.226892802759263
612;-12;0.612;-0.20943951023932
629;-11;0.629;-0.191986217719376
645;-9;0.645;-0.15707963267949
661;-8;0.661;-0.139626340159546
677;-7;0.677;-0.122173047639603
693;-6;0.693;-0.10471975511966
709;-5;0.709;-0.0872664625997165
725;-4;0.725;-0.0698131700797732
741;-3;0.741;-0.0523598775598299
758;-2;0.758;-0.0349065850398866
774;-2;0.774;-0.0349065850398866
790;-1;0.79;-0.0174532925199433
806;-1;0.806;-0.0174532925199433
822;0;0.822;0
